Tarefas,324,424,125,225,325,425,126,226,326,426,127,227,327,427
Créditos como Aluno Especial,X,X,,,,,,,,,,,,
Créditos como Aluno Regular,,,X,X,,,,,,,,,,
Fundamentação Teórica - Estudo sobre modelos de TTS conversacionais,,,X,X,X,X,X,X,X,X,,,,
Fundamentação Teórica - Revisão de métricas de avaliação de modelos de TTS conversacionais,,,,,,,X,X,X,X,,,,
Fundamentação Teórica - Revisão de paradigmas de estruturação de frameworks para criação de corpora de áudio,,,,,,,X,X,X,X,,,,
Segmentação do MuPe para criação do MuPeTalk,,,,,X,X,X,,,,,,,
Disponibilização do MuPeTalk no HuggingFace,,,,, ,,X,X,,,,,,
Treinamento do MuPeTalk usando FastSpeech2 Modificado,,,,,,,X,X,,,,,,
Validação dos áudios gerados pelo FastSpeech2 Modificado segundo as métricas do DailyTalk,,,,,,,X,X,,,,,,
Publicação do MuPeTalk,,,,,,,,X,,,,,,
Obtenção dos dados revisados originais (SRT) do Pecege,,,,,,X,X,X,X,X,,,,
Estruturação do pipeline de re-anotação do PecegeTalk,,,,,,,,X,X,,,,,
Validação das rotulações do PecegeTalk,,,,,,,,,,X,,,,
Treinamento do PecegeTalk em dois modelos SOTA (AR & NAR),,,,,,,,,,X,,,,
Validação do treinamento dos áudios sintetizados pelos modelos AR & NAR usando métricas apropriadas,,,,,,,,,,X,,,,
Publicação e disponibilização do PecegeTalk,,,,,,,,,,,X,,,
Estruturação do framework DiaTTS-Toolkit ,,,,,,,,,,,X,X,,
Publicação de um artigo sobre o DiaTTS-Toolkit ,,,,,,,,,,,,,X,
Defesa,,,,,,,,,,,,,,X
